,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
878,Geelong,2014,22,Hawthorn,-23,M.C.G.,71,19.68181818,9.045454545,4.409090909,10.63636364,0.5,1.363636364,2.045454545,1.181818182,2.045454545,1.681818182,2.181818182,5.636363636,14.13636364,0.318181818,0.363636364,0.318181818,2.045454545,184,1890,L,23,Brisbane Lions,Kardinia Park,W
879,Geelong,2014,23,Brisbane Lions,62,Kardinia Park,143,17.40909091,9.045454545,4.272727273,8.363636364,0.954545455,1.045454545,2.909090909,0.909090909,2.636363636,1.772727273,1.590909091,6,11.68181818,0.545454545,1,0.727272727,2.090909091,246,2033,W,23,Hawthorn,M.C.G.,L
880,Geelong,2014,23,Hawthorn,-36,M.C.G.,68,15.04545455,8.272727273,3.045454545,6.772727273,0.454545455,1.681818182,2.681818182,1.5,2.363636364,1.909090909,1.863636364,6.363636364,8.909090909,0.454545455,0.454545455,0.318181818,2.363636364,210,2101,L,23,North Melbourne,M.C.G.,L
881,Geelong,2014,23,North Melbourne,-6,M.C.G.,92,12.68181818,7.863636364,3.727272727,4.818181818,0.590909091,1.409090909,2.681818182,1.5,2.363636364,1.772727273,2.090909091,6.136363636,6.909090909,1,0.863636364,0.5,2.272727273,204,2193,L,1,Hawthorn,M.C.G.,L
882,Geelong,2015,1,Hawthorn,-62,M.C.G.,61,15.68181818,8.636363636,4.5,7.045454545,0.363636364,1.181818182,2.545454545,1.636363636,1.909090909,1.136363636,1.863636364,5.181818182,10.63636364,0.409090909,0.590909091,0.272727273,2.136363636,-62,61,L,2,Fremantle,Kardinia Park,L
883,Geelong,2015,2,Fremantle,-44,Kardinia Park,60,14.59090909,7.227272727,3.454545455,7.363636364,0.409090909,1.454545455,3.272727273,1.636363636,1.863636364,1.409090909,2.681818182,5.863636364,8.772727273,0.5,0.363636364,0.318181818,1.818181818,-106,121,L,3,Gold Coast,Kardinia Park,W
884,Geelong,2015,3,Gold Coast,9,Kardinia Park,105,16.95454545,9.590909091,3.181818182,7.363636364,0.727272727,1.818181818,2.909090909,2.136363636,2.363636364,1.818181818,2.136363636,6.909090909,9.545454545,0.318181818,0.318181818,0.5,2.318181818,-97,226,W,4,North Melbourne,Kardinia Park,L
885,Geelong,2015,4,North Melbourne,-16,Kardinia Park,67,13.72727273,8.181818182,3.954545455,5.545454545,0.409090909,1.545454545,3.136363636,1.590909091,2.545454545,1.545454545,2.454545455,5.363636364,8.136363636,0.681818182,0.727272727,0.363636364,2.227272727,-113,293,L,5,Richmond,M.C.G.,W
886,Geelong,2015,5,Richmond,9,M.C.G.,85,16,8.681818182,5.272727273,7.318181818,0.545454545,1.681818182,2,1.409090909,1.954545455,1.318181818,1.818181818,5.272727273,11.31818182,0.5,0.590909091,0.409090909,1.545454545,-104,378,W,6,Collingwood,M.C.G.,W
887,Geelong,2015,6,Collingwood,41,M.C.G.,100,19.31818182,10.45454545,5.454545455,8.863636364,0.681818182,0.954545455,3.818181818,1.772727273,2.409090909,1.727272727,2,6.5,13.13636364,0.318181818,0.727272727,0.590909091,1.545454545,-63,478,W,7,Sydney,Stadium Australia,L
