Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Geelong,Greater Western Sydney,Simonds Stadium,10,10,1,0,1531.917782,1367.286745,W
2012,Greater Western Sydney,Geelong,Simonds Stadium,10,10,0,1,1367.286745,1531.917782,L
2012,Hawthorn,North Melbourne,Aurora Stadium,10,10,1,0,1514.822246,1470.757481,W
2012,North Melbourne,Hawthorn,Aurora Stadium,10,10,0,1,1470.757481,1514.822246,L
2012,Adelaide,Fremantle,Patersons Stadium,10,10,0,1,1606.118712,1512.18806,W
2012,Fremantle,Adelaide,Patersons Stadium,10,10,1,0,1512.18806,1606.118712,L
2012,Carlton,Port Adelaide,AAMI Stadium,10,10,0,1,1545.342937,1440.22954,L
2012,Port Adelaide,Carlton,AAMI Stadium,10,10,1,0,1440.22954,1545.342937,W
2012,Essendon,Melbourne,MCG,10,10,0,0,1637.806676,1327.610769,L
2012,Melbourne,Essendon,MCG,10,10,0,0,1327.610769,1637.806676,W
2012,Brisbane Lions,West Coast,The Gabba,10,10,1,0,1423.491615,1638.849806,W
2012,West Coast,Brisbane Lions,The Gabba,10,10,0,1,1638.849806,1423.491615,L
2012,Sydney,Western Bulldogs,SCG,10,10,1,0,1536.199145,1475.648688,W
2012,Western Bulldogs,Sydney,SCG,10,10,0,1,1475.648688,1536.199145,L
2012,Collingwood,Gold Coast,MCG,10,10,1,0,1638.28223,1299.86242,W
2012,Gold Coast,Collingwood,MCG,10,10,0,1,1299.86242,1638.28223,L
2012,Carlton,Geelong,Etihad Stadium,11,11,0,0,1516.444837,1542.550983,L
2012,Geelong,Carlton,Etihad Stadium,11,11,0,0,1542.550983,1516.444837,W
2012,Fremantle,Richmond,MCG,11,11,0,1,1486.593318,1535.683283,W
2012,Richmond,Fremantle,MCG,11,11,1,0,1535.683283,1486.593318,L
2012,Gold Coast,St Kilda,Metricon Stadium,11,11,1,0,1295.391887,1497.901866,L
2012,St Kilda,Gold Coast,Metricon Stadium,11,11,0,1,1497.901866,1295.391887,W
2012,Essendon,Sydney,Etihad Stadium,11,11,1,0,1591.875817,1552.848802,L
2012,Sydney,Essendon,Etihad Stadium,11,11,0,1,1552.848802,1591.875817,W
2012,Hawthorn,Port Adelaide,AAMI Stadium,11,11,0,1,1532.580553,1469.127639,W
2012,Port Adelaide,Hawthorn,AAMI Stadium,11,11,1,0,1469.127639,1532.580553,L
2012,Collingwood,Melbourne,MCG,11,11,0,0,1642.752762,1373.541628,W
2012,Melbourne,Collingwood,MCG,11,11,0,0,1373.541628,1642.752762,L
2012,Carlton,West Coast,Patersons Stadium,12,11,0,1,1491.639505,1601.957255,L
2012,West Coast,Carlton,Patersons Stadium,11,12,1,0,1601.957255,1491.639505,W
2012,Adelaide,St Kilda,AAMI Stadium,11,12,1,0,1631.713454,1515.50565,W
2012,St Kilda,Adelaide,AAMI Stadium,12,11,0,1,1515.50565,1631.713454,L
2012,Greater Western Sydney,Richmond,_koda Stadium,11,12,1,0,1356.653545,1499.466614,L
2012,Richmond,Greater Western Sydney,_koda Stadium,12,11,0,1,1499.466614,1356.653545,W
2012,Gold Coast,North Melbourne,Metricon Stadium,12,11,1,0,1277.788104,1452.999174,L
2012,North Melbourne,Gold Coast,Metricon Stadium,11,12,0,1,1452.999174,1277.788104,W
2012,Brisbane Lions,Hawthorn,MCG,11,12,0,1,1460.384166,1560.52618,L
2012,Hawthorn,Brisbane Lions,MCG,12,11,1,0,1560.52618,1460.384166,W
2012,Port Adelaide,Western Bulldogs,Etihad Stadium,12,11,0,1,1441.182013,1458.999031,L
2012,Western Bulldogs,Port Adelaide,Etihad Stadium,11,12,1,0,1458.999031,1441.182013,W
2012,Geelong,Sydney,SCG,12,12,0,1,1567.356315,1588.377414,L
2012,Sydney,Geelong,SCG,12,12,1,0,1588.377414,1567.356315,W
2012,Brisbane Lions,Western Bulldogs,Etihad Stadium,12,12,0,1,1446.232393,1478.595507,W
2012,Western Bulldogs,Brisbane Lions,Etihad Stadium,12,12,1,0,1478.595507,1446.232393,L
2012,Collingwood,West Coast,MCG,12,12,1,0,1652.145469,1615.507296,W
2012,West Coast,Collingwood,MCG,12,12,0,1,1615.507296,1652.145469,L
2012,Essendon,Fremantle,Patersons Stadium,12,12,0,1,1556.347204,1522.809987,W
2012,Fremantle,Essendon,Patersons Stadium,12,12,1,0,1522.809987,1556.347204,L
2012,Greater Western Sydney,Melbourne,MCG,12,12,0,1,1334.775602,1364.148922,L
2012,Melbourne,Greater Western Sydney,MCG,12,12,1,0,1364.148922,1334.775602,W
2012,Adelaide,North Melbourne,Etihad Stadium,12,12,0,1,1644.923028,1472.508844,L
2012,North Melbourne,Adelaide,Etihad Stadium,12,12,1,0,1472.508844,1644.923028,W
2012,Carlton,Hawthorn,MCG,13,13,0,0,1478.089464,1574.677953,L
2012,Hawthorn,Carlton,MCG,13,13,0,0,1574.677953,1478.089464,W
2012,Collingwood,Fremantle,MCG,13,13,1,0,1670.415203,1492.5734,W
2012,Fremantle,Collingwood,MCG,13,13,0,1,1492.5734,1670.415203,L
2012,Adelaide,Richmond,AAMI Stadium,13,13,1,0,1610.999921,1521.344556,W
2012,Richmond,Adelaide,AAMI Stadium,13,13,0,1,1521.344556,1610.999921,L
2012,Gold Coast,West Coast,Patersons Stadium,13,13,0,1,1258.278434,1597.237562,L
2012,West Coast,Gold Coast,Patersons Stadium,13,13,1,0,1597.237562,1258.278434,W
2012,Greater Western Sydney,Sydney,ANZ Stadium,13,13,0,0,1315.998789,1607.745087,L
2012,Sydney,Greater Western Sydney,ANZ Stadium,13,13,0,0,1607.745087,1315.998789,W
2012,Essendon,Western Bulldogs,Etihad Stadium,13,13,0,0,1586.583792,1443.529783,W
2012,Western Bulldogs,Essendon,Etihad Stadium,13,13,0,0,1443.529783,1586.583792,L
2012,Geelong,Port Adelaide,Simonds Stadium,13,13,1,0,1547.988642,1421.585536,W
2012,Port Adelaide,Geelong,Simonds Stadium,13,13,0,1,1421.585536,1547.988642,L
2012,Brisbane Lions,Melbourne,The Gabba,13,13,1,0,1481.298117,1382.925735,W
